2025-08-12 13:32:25 | WARNING | Could not get detailed seller info for https://baiyisen.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:28 | WARNING | Could not get detailed seller info for https://koofex.en.made-in-china.com?ads_tp=&ads_id=vyBTXLqckPle: 'Seller' object has no attribute 'email'
2025-08-12 13:32:28 | WARNING | Could not get detailed seller info for https://huipuhairdryer.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:29 | WARNING | Could not get detailed seller info for https://bidisco.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:31 | WARNING | Could not get detailed seller info for https://shanghaijinglang.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:32 | WARNING | Could not get detailed seller info for https://baiyisen.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:33 | WARNING | Could not get detailed seller info for https://huipuhairdryer.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:35 | WARNING | Could not get detailed seller info for https://reputable-trading.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:37 | WARNING | Could not get detailed seller info for https://himtop.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:38 | WARNING | Could not get detailed seller info for https://baiyisen.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:39 | WARNING | Could not get detailed seller info for https://cy-electronic.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:40 | WARNING | Could not get detailed seller info for https://huipuhairdryer.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:42 | WARNING | Could not get detailed seller info for https://muselect.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:43 | WARNING | Could not get detailed seller info for https://shanghaijinglang.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:45 | WARNING | Could not get detailed seller info for https://goodseller-household.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:46 | WARNING | Could not get detailed seller info for https://bidisco.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:47 | WARNING | Could not get detailed seller info for https://baiyisen.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:48 | WARNING | Could not get detailed seller info for https://mktslkt-a.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:50 | WARNING | Could not get detailed seller info for https://rongheglobal.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:51 | WARNING | Could not get detailed seller info for https://wzhuipu.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:53 | WARNING | Could not get detailed seller info for https://3c5d389ced10cf96.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:55 | WARNING | Could not get detailed seller info for https://alumihk.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:55 | INFO | Page 1: Found 30 listings
2025-08-12 13:32:58 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:33:00 | WARNING | Could not get detailed seller info for https://rebeccahairfactory.en.made-in-china.com: 'Seller' object has no attribute 'email'
